Name,City,Country
Matthew,Nova Prata,Brazil
Elizabeth,Zhendong,China
Barbara,Ḩabīl al Jabr,Yemen
Victor,Kumla,Sweden
Frances,Sirnaresmi,Indonesia
Robin,Bezhta,Russia
Maria,Mŭynoq,Uzbekistan
John,Ishimbay,Russia
Jean,Al Jarrāḩī,Yemen
Timothy,Loandjili,Republic of the Congo
Elizabeth,Union,Philippines
Irene,Bansko,Bulgaria
Chris,Litan,China
Betty,Voiron,France
Emily,Thành Phố Hạ Long,Vietnam
Jennifer,Bafoussam,Cameroon
Bobby,Xinji,China
Cheryl,Karakulino,Russia
Roy,Yunxi,China
Mark,Aughrim,Ireland
Jeffrey,Xiaohe,China
Mildred,Novokizhinginsk,Russia
Brenda,Ozorków,Poland
Catherine,Situsari,Indonesia
Billy,Caibarién,Cuba
Brian,Ariquemes,Brazil
Debra,Irosin,Philippines
Harry,Dongyangzhen,China
Ruth,Reni,Ukraine
Rose,Mvuma,Zimbabwe
Russell,Martinlongo,Portugal
Todd,Chikola,Russia
Helen,Margate,South Africa
Charles,Gornja Koprivna,Bosnia and Herzegovina
Dorothy,Essang,Indonesia
Steve,Rathdrum,Ireland
Kathy,Sumbersih,Indonesia
Charles,Al Wuday‘,Yemen
Anthony,Tiel,Netherlands
Anna,Gulbene,Latvia
Randy,Kutapanjang,Indonesia
Karen,Collingwood,Canada
Kimberly,Manning,Canada
Marilyn,Cincinnati,United States
Dennis,Fare,French Polynesia
Brenda,Affery,Ivory Coast
Nicole,Cimuncang,Indonesia
Billy,Leramatang,Indonesia
Cynthia,Avanca,Portugal
Jack,Ipatinga,Brazil
Gloria,Mandapajaya,Indonesia
Walter,Pangao,Philippines
Maria,Killorglin,Ireland
Terry,Bjelovar,Croatia
Arthur,Cigadog,Indonesia
Theresa,Huadi,China
Carol,Przyborów,Poland
Virginia,Dacudao,Philippines
Patrick,Linpu,China
Lori,Shanmuqiao,China
James,Wielichowo,Poland
Alan,Qiaotou,China
Ruby,Fonseca,Colombia
Christopher,Espírito Santo do Pinhal,Brazil
Norma,Aleg,Mauritania
Michael,Qianxu Zhen,China
Margaret,Luhanka,Finland
Alice,Paris 11,France
Russell,Qinghaihu,China
Mary,Povarovo,Russia
Roy,Pinhal da Marquesa,Portugal
Charles,Kayu Agung,Indonesia
Jacqueline,Bellavista,Mexico
Adam,Bābol,Iran
William,Calangain,Philippines
Betty,Suez,Egypt
Jonathan,Zharrëz,Albania
Angela,Kotakan Selatan,Indonesia
George,San Bautista,Uruguay
Clarence,Sacramento,United States
Catherine,Shuigou,China
Donna,Buang,Philippines
Catherine,Taipingxi,China
Kelly,Ayamaru,Indonesia
Lawrence,Zbąszyń,Poland
Phyllis,‘Izbat al Burj,Egypt
Willie,Béthune,France
Clarence,Palmital,Brazil
Robert,Soca,Uruguay
Kevin,Granard,Ireland
Louis,Větřní,Czech Republic
Bonnie,Kashiwazaki,Japan
Gregory,Tomaševac,Serbia
Jonathan,Mantar,Indonesia
Kathleen,Fort Macleod,Canada
Phyllis,Qinglin,China
Benjamin,Calatrava,Philippines
Philip,Baohe,China
Donna,Jiujiang,China
Gary,Al Miftāḩ,Yemen
Jean,Tidaholm,Sweden
Wayne,Perelhal,Portugal
Bruce,Ārān Bīdgol,Iran
Todd,Agalteca,Honduras
Thomas,El Rosario,Nicaragua
Ann,Zhuting,China
Richard,Enriquillo,Dominican Republic
Doris,Jianguang,China
Bobby,Rey,Iran
Jean,Huntsville,United States
Louise,Крива Паланка,Macedonia
Gerald,Xia Zanggor,China
Roy,Jishan,China
Harold,Ciorescu,Moldova
Jean,Laranjeiras,Brazil
Betty,Cholet,France
Philip,Ban Houakhoua,Laos
Jean,Dengzishan,China
Nicole,Bone South,Philippines
Arthur,Rukem,Indonesia
Emily,Chīchāwatni,Pakistan
Robert,Kysyl-Syr,Russia
Linda,Qarshi,Uzbekistan
Janet,Chemal,Russia
Carol,Masoyila,Sierra Leone
Ralph,Laguna Limpia,Argentina
Scott,Antsohihy,Madagascar
Wayne,Washington,United States
Louis,Yelan’,Russia
Carol,Caozhen,China
Norma,Miyako,Japan
Bobby,Kurungannyawa,Indonesia
Lillian,Mangarine,Philippines
Cheryl,Cardona,Philippines
Julia,Beixinjie,China
Rose,Zhongxin,China
Bruce,Paris 01,France
Albert,Yachimata,Japan
Jessica,Bobonan,Philippines
Earl,Nova Viçosa,Brazil
Kenneth,Nova Iguaçu,Brazil
Sean,Sangtian,China
Judith,Pirané,Argentina
Joe,Orléans,France
Walter,Mników,Poland
Lisa,Chang’an,China
Katherine,Pataypampa,Peru
Timothy,Shilong,China
Jessica,Berlin,Germany
Joseph,Horodok,Ukraine
Rose,Itaocara,Brazil
Chris,Tampa,United States
Michelle,Digdig,Philippines
Annie,Loum,Cameroon
Steven,Lençóis Paulista,Brazil
Paul,Bendan,Indonesia
Johnny,Aurora,United States
Chris,Maochen,China
Scott,Lapu-Lapu City,Philippines
Paula,Siao,Thailand
Emily,Sumy,Ukraine
Russell,Gaojiazhuang,China
Dennis,Toyohama,Japan
Bonnie,Villa General Belgrano,Argentina
Virginia,Kalutara,Sri Lanka
Scott,Longtan,China
Alice,Arrën,Albania
Frances,Babakanloa,Indonesia
Laura,Ongi,Mongolia
Theresa,Kalmar,Sweden
Joyce,Gaotieling,China
Sean,Verkhnyaya Toyma,Russia
Henry,Sukhinichi,Russia
Norma,Solna,Sweden
Patrick,Halmstad,Sweden
Terry,Bromma,Sweden
Michael,Nhà Bàng,Vietnam
Robin,Ban Houayxay,Laos
Kelly,Dromiskin,Ireland
Patrick,Pulo,Philippines
Deborah,Luopu,China
Melissa,Vesëlyy,Russia
Stephanie,Torsås,Sweden
Billy,Głubczyce,Poland
Julie,Constance,Portugal
Betty,Nagbacalan,Philippines
Steve,Xiaoyan,China
Phillip,Chattanooga,United States
Betty,Xinsheng,China
Martin,Bern,Switzerland
Janet,Luan Balu,Indonesia
Melissa,Liangwangzhuang,China
Clarence,Arísvi,Greece
William,New York City,United States
Sharon,Dacudao,Philippines
Rebecca,Ubrub,Indonesia
Ernest,Kalamáta,Greece
Johnny,Quezon,Philippines
Christopher,Sandvika,Norway
Aaron,Šilheřovice,Czech Republic
James,Ichuña,Peru
Jose,Xinyang,China
Ryan,Magsaysay,Philippines
Ryan,Santa Lucía Cotzumalguapa,Guatemala
Andrea,Wuli,China
Steve,Morro do Chapéu,Brazil
Ruby,Mpulungu,Zambia
Jesse,Piaski,Poland
Ernest,Fort Liberté,Haiti
Willie,Arcachon,France
Joe,Hengshan,China
Paula,San Antonio,Chile
Mildred,Krasnomayskiy,Russia
Randy,Vilppula,Finland
Ashley,Mayisad,Haiti
Rachel,Sabtang,Philippines
Christina,Laszki,Poland
Sara,Daxi,China
Julia,Junaynat Raslān,Syria
Kathleen,Kawaliwu,Indonesia
Julia,Lyon,France
Phyllis,Bang Rakam,Thailand
Gary,Porirua,New Zealand
Scott,Belajen,Indonesia
Philip,Kuruman,South Africa
Rachel,Ugbokpo,Nigeria
Bonnie,Temirtau,Kazakhstan
Barbara,Bieniewice,Poland
Matthew,Puchong,Malaysia
Heather,Judita,Jordan
Louis,København,Denmark
Teresa,Ciparay,Indonesia
Jerry,Norwalk,United States
Frances,Ferapontovo,Russia
Ruth,Gaogu,China
Justin,Rožna Dolina,Slovenia
Justin,Lenart v Slov. Goricah,Slovenia
Ernest,Shreveport,United States
Earl,Volosovo,Russia
Angela,Licheng,China
Judith,Jovellar,Philippines
Jean,Shangyi,China
Teresa,Dadoupu,China
Frank,Baimi,China
Keith,København,Denmark
Sarah,Halmstad,Sweden
Sara,Qagan Obo,China
Richard,Parabon,Indonesia
Joe,Al Burayqah,Libya
Terry,Jammāl,Tunisia
Carlos,Tegalsari,Indonesia
Billy,Capiíbary,Paraguay
Dennis,Sekirnik,Macedonia
Sharon,Marovoay,Madagascar
Emily,Hengelo,Netherlands
Cheryl,María la Baja,Colombia
Roger,Granada,Philippines
Nancy,Bendosewu,Indonesia
Matthew,Yambol,Bulgaria
Justin,Hezuoqiao,China
Stephen,Tsarychanka,Ukraine
Martha,Sofádes,Greece
Lois,Mardīān,Afghanistan
Cynthia,Bakalang,Indonesia
Laura,Kumane,Serbia
Lillian,Chigasaki,Japan
Joyce,Cikaung,Indonesia
Deborah,New Leyte,Philippines
Denise,Guapimirim,Brazil
Susan,Manhan,Mongolia
Henry,Nelazskoye,Russia
Eric,Xambabazar,China
Aaron,Javānrūd,Iran
Catherine,Saint Paul,United States
Shirley,Pragen Selatan,Indonesia
Anthony,Camindangan,Philippines
Jean,Caburan,Philippines
Joseph,Kasserine,Tunisia
David,Dalong,China
Christina,Janeng,Botswana
David,Palmdale,United States
Lois,Pećigrad,Bosnia and Herzegovina
Melissa,Quinocay,Peru
Carolyn,Dazaifu,Japan
Julia,Nueve de Julio,Argentina
Maria,Liangwa,China
Dennis,Rybí,Czech Republic
Kenneth,Wengyang,China
Donna,Saint-Jean-de-Monts,France
Joshua,Zhaotong,China
Carl,La Roxas,Philippines
Virginia,Bradashesh,Albania
William,Zengtian,China
James,Wutong,China
Walter,Kedungtuban,Indonesia
Andrew,São Gabriel da Cachoeira,Brazil
Sarah,Popovi,Bosnia and Herzegovina
Janice,Cocorná,Colombia
Ruth,Qarāwat Banī Zayd,Palestinian Territory
Jeffrey,Pyin Oo Lwin,Myanmar
Stephen,Gandiaye,Senegal
Patricia,Al Bawīţī,Egypt
Christine,Miribel,France
Donna,Wróblew,Poland
Nicholas,Voždovac,Serbia
Katherine,Kemil,Indonesia
Robert,Saposoa,Peru
Norma,Xixiang,China
Jean,Az Zulfi,Saudi Arabia
Anthony,Yantan,China
Doris,Lubasz,Poland
Judy,Dzoraghbyur,Armenia
Jack,Vorontsovka,Russia
Norma,Waco,United States
Gerald,Guozhuang,China
Frances,Voždovac,Serbia
Anne,Lyon,France
Carolyn,Conel,Philippines
Nancy,Daming,China
Arthur,Caoyan,China
Patrick,Mat-i,Philippines
William,Cheping,China
Henry,Anliang,China
Ralph,Bonao,Dominican Republic
Stephen,Kuasha,China
Randy,Oefatu,Indonesia
Christine,Kihniö,Finland
Maria,Barayong,Philippines
Patricia,Sarzedo,Portugal
Brian,Yangjiafang,China
Christina,Gasi,China
Carolyn,Jiaozuo,China
Paul,San Benito Abad,Colombia
Daniel,Da’ao,China
Kathy,Rokietnica,Poland
Joseph,Hunkuyi,Nigeria
Joyce,Hecun,China
Shawn,Lianozovo,Russia
Kathy,Malakwal City,Pakistan
Phyllis,Emiliano Zapata,Mexico
Lisa,Trzebinia,Poland
Cynthia,Tupambaé,Uruguay
Donald,Mourelos,Portugal
Kenneth,Byczyna,Poland
Fred,Agualote,Honduras
Alan,Zhencheng,China
Jane,Jinkou,China
Brenda,Primero de Mayo,Mexico
Diane,Examília,Greece
Steve,Nong Bua Daeng,Thailand
Albert,Mochudi,Botswana
Stephen,Nurota Shahri,Uzbekistan
Nicole,Xiaomei,China
Betty,Erong,China
Kelly,Culacling,Philippines
Ann,Lago dos Rodrigues,Brazil
Frances,Inírida,Colombia
Sandra,Sundsvall,Sweden
Christopher,Atolina,Belarus
Albert,Baryshevo,Russia
Terry,Sanxing,China
Kevin,At Tall al Kabīr,Egypt
Joe,Rosario de Lerma,Argentina
Joshua,Lingbei,China
Ralph,Hutang,China
Henry,Kokembang,Indonesia
Joseph,Colonia Wanda,Argentina
Philip,Kloulklubed,Palau
Chris,Clichy,France
Bonnie,Huazangsi,China
Jeremy,Idrija,Slovenia
Lori,Obonoma,Nigeria
Norma,Majiadu,China
Gerald,Namling,China
Rachel,Huolongmen,China
Kathy,Jinbo,China
Joyce,Pilar,Paraguay
Amanda,Sangoleng,Indonesia
Carolyn,Ekenäs,Finland
Marilyn,Kawangohari,Indonesia
Ronald,Klishkivtsi,Ukraine
Gregory,Jajar,Indonesia
Alan,Qilong,China
Billy,Zaniemyśl,Poland
Charles,Świeradów-Zdrój,Poland
Ryan,Kawahmanuk,Indonesia
Stephanie,Novosheshminsk,Russia
Pamela,Tall Rif‘at,Syria
Bonnie,Xiaochi,China
Harry,Zeqin,China
Daniel,Sapphaya,Thailand
Daniel,Starcevica,Bosnia and Herzegovina
Linda,Toamasina,Madagascar
Amanda,Chivor,Colombia
Marilyn,Chimbas,Argentina
Joyce,Orléans,France
Lori,Lendava,Slovenia
Sean,Juhut,Indonesia
Carolyn,Dongqinggou,China
Louis,Ribnica na Pohorju,Slovenia
Christopher,Debre Tabor,Ethiopia
Steven,Honolulu,United States
Shawn,Kostel,Slovenia
Scott,Kasama,Japan
Richard,Pitrufquén,Chile
Antonio,Tokmok,Kyrgyzstan
Nicole,Gaula,Portugal
Larry,Nagiba,Philippines
Betty,Shangwuzhuang,China
Christina,Sukarama,Indonesia
Harry,Hufeng,China
Stephen,Caringin Lor,Indonesia
Diane,Kushar,Yemen
Jose,Dongdong,China
David,Santa Cruz do Bispo,Portugal
Susan,Ghormach,Afghanistan
Helen,Algeciras,Colombia
Ralph,Nyachera,Uganda
Samuel,Haolibao,China
Stephen,Debar,Macedonia
Susan,Longfengshan,China
Nancy,Babakan,Indonesia
Doris,Skogås,Sweden
Lisa,Sleman,Indonesia
Harold,Aasiaat,Greenland
Jacqueline,Orita Eruwa,Nigeria
Carol,Zheleznovodsk,Russia
Annie,Sahatsakhan,Thailand
Denise,Atabayan,Philippines
Virginia,Přimda,Czech Republic
Marilyn,Marmashen,Armenia
Heather,Canelas,Portugal
Johnny,Ülken,Kazakhstan
Charles,Metu,Ethiopia
Kathryn,Cordon,Philippines
Julia,Arāk,Iran
Laura,Xiaruyue,China
Shawn,Kerrobert,Canada
Timothy,Baytā al Fawqā,Palestinian Territory
Helen,Mislīyah,Palestinian Territory
Betty,Los Patios,Colombia
Alan,San Antonio de Los Altos,Venezuela
Judy,Hanting,China
Christine,Niedźwiada,Poland
Theresa,Binlod,Philippines
Jessica,Rantauambacang,Indonesia
Jennifer,Zhanghua,China
James,Chaeryŏng-ŭp,North Korea
Ernest,Qi’an,China
William,Qingyang,China
Ralph,Vrachnaíika,Greece
Thomas,Ambohitrolomahitsy,Madagascar
Carlos,Tlogowetan,Indonesia
Steve,La Unión,Colombia
Patricia,Yangqiao,China
Diane,Santa Rita,Brazil
Douglas,Sumberrejo,Indonesia
Charles,Meylan,France
Elizabeth,Budy,Ukraine
Stephanie,Ngrambitan,Indonesia
Jose,Port-aux-Français,French Southern Territories
Carl,Miaoxi,China
Jane,União,Brazil
Matthew,Amieira do Tejo,Portugal
Mark,Zitong,China
Shirley,Kaliasin,Indonesia
Craig,Ilha Solteira,Brazil
Frank,Buurhakaba,Somalia
Harold,Huari,Peru
Deborah,Hamhŭng,North Korea
Kimberly,Fuxing,China
Bruce,Linköping,Sweden
Russell,Villaba,Philippines
Stephanie,Angostura,Colombia
Albert,Annecy,France
Sara,Tervel,Bulgaria
Kevin,Mbanza Congo,Angola
Janet,Kashin,Russia
Julie,Gadingrejo,Indonesia
Arthur,Bollène,France
Margaret,Taurija,Peru
Craig,Angasmarca,Peru
Kathryn,Cigadog,Indonesia
Todd,Nagiba,Philippines
Frances,San Gregorio,Philippines
Patricia,Palhoça,Brazil
Gloria,Cahuanuyo,Peru
Robin,Kemuning,Indonesia
Patrick,Lat Lum Kaeo,Thailand
Helen,Mekarsari,Indonesia
Joseph,Amberd,Armenia
Brenda,Ad Dilam,Saudi Arabia
Thomas,Kalí Vrýsi,Greece
Steven,Tromsø,Norway
Jacqueline,Qiaole,China
Douglas,Greenhills,Ireland
Ryan,Sentul,Indonesia
Donna,Soutocico,Portugal
Walter,Guadalupe,Peru
Frances,Pagak,Indonesia
David,Zaoshi,China
Howard,Navatat,Philippines
Matthew,Dakoutun,China
Robert,Jincheng,China
Howard,Satte,Japan
Jonathan,Morón,Argentina
Ruby,San Francisco,Mexico
Beverly,Chłapowo,Poland
Melissa,Baton Rouge,United States
Pamela,Quinta,Portugal
Irene,Pahonjean,Indonesia
Frances,Bakadagy,Gambia
Daniel,Samoljica,Serbia
Brenda,Dūrā al Qar‘,Palestinian Territory
Dennis,Dieppe,France
David,Safi,Jordan
Kathy,Qianjia,China
Heather,Skiáthos,Greece
Louis,Virginia,Ireland
Louise,Cukangpanjang,Indonesia
Paula,Stylída,Greece
Gloria,Igbo-Ukwu,Nigeria
Walter,Qinā,Egypt
Paul,Magdug,Philippines
Judith,Ngedhubasa,Indonesia
Emily,Huolongmen,China
Brandon,Kalabahi,Indonesia
Bobby,Casilda,Argentina
Roger,Seoul,South Korea
Amy,Guarapari,Brazil
Louise,Dongqiao,China
Willie,Kanoni,Uganda
Andrew,Quinta do Sobrado,Portugal
Wayne,Spodnja Hajdina,Slovenia
Jean,Conselheiro Lafaiete,Brazil
William,Pulangbato,Philippines
Diane,Erfangping,China
Jonathan,Lyon,France
Carol,Pīr jo Goth,Pakistan
Jeremy,Nanzhen,China
Rose,Castlerea,Ireland
Willie,Emmaboda,Sweden
William,Mirsk,Poland
Ernest,Sanxing,China
John,Krajansumbermujur,Indonesia
Kevin,Matinha,Brazil
Shawn,Zhangcaizhuang,China
Patricia,Vogan,Togo
Nancy,Kalodu,Indonesia
Douglas,Ilhabela,Brazil
Wayne,Novyy Svit,Ukraine
Jacqueline,Las Palmas,Mexico
Doris,Pule,Indonesia
Anthony,Xiatang,China
Heather,Kotakan Selatan,Indonesia
Mildred,Tianzhou,China
James,Isnos,Colombia
Raymond,Jingkou,China
Louis,Kyzyldzhar,Uzbekistan
Ann,Honghe,China
Teresa,København,Denmark
Randy,Sarvaš,Croatia
Bonnie,Wulong,China
Cynthia,Ash Shawātī,Yemen
Janice,Sovetskoye,Russia
Ernest,Kitwe,Zambia
